2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507558272 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/59d594003bf59880a884c574bf88ef7555bb0202.lock
2025-09-30 09:03:59 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507558272 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/59d594003bf59880a884c574bf88ef7555bb0202.lock
2025-09-30 09:04:00 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-09-30 09:04:00 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 307 0
2025-09-30 09:04:00 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json HTTP/1.1" 200 0
2025-09-30 09:04:00 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507558848 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/72b987fd805cfa2b58c4c8c952b274a11bfd5a00.lock
2025-09-30 09:04:00 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507558848 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/72b987fd805cfa2b58c4c8c952b274a11bfd5a00.lock
2025-09-30 09:04:01 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/config.json HTTP/1.1" 200 612
2025-09-30 09:04:01 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507558848 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/72b987fd805cfa2b58c4c8c952b274a11bfd5a00.lock
2025-09-30 09:04:01 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507558848 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/72b987fd805cfa2b58c4c8c952b274a11bfd5a00.lock
2025-09-30 09:04:01 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/model.safetensors HTTP/1.1" 302 0
2025-09-30 09:04:01 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507555344 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.lock
2025-09-30 09:04:01 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507555344 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.lock
2025-09-30 09:04:01 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/xet-read-token/c9745ed1d9f207416be6d2e6f8de32d1f16199bf HTTP/1.1" 200 325
2025-09-30 09:04:09 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507555344 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.lock
2025-09-30 09:04:09 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507555344 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/53aa51172d142c89d9012cce15ae4d6cc0ca6895895114379cacb4fab128d9db.lock
2025-09-30 09:04:10 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-09-30 09:04:10 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json HTTP/1.1" 200 0
2025-09-30 09:04:10 | filelock | DEBUG    | _api.py:acquire:331 | Attempting to acquire lock 139274507558800 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/c79f2b6a0cea6f4b564fed1938984bace9d30ff0.lock
2025-09-30 09:04:10 | filelock | DEBUG    | _api.py:acquire:334 | Lock 139274507558800 acquired on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/c79f2b6a0cea6f4b564fed1938984bace9d30ff0.lock
2025-09-30 09:04:10 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/tokenizer_config.json HTTP/1.1" 200 350
2025-09-30 09:04:10 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507558800 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/c79f2b6a0cea6f4b564fed1938984bace9d30ff0.lock
